تاریخ     ,شمسی تابکاری,درجہ_حرارت_زیادہ,درجہ_حرارت_کم,بارش
۲۰۱۳-۰۱-۰۱,۱۲.۲        ,۷.۸             ,-۱۴.۴        ,۰.۰
۲۰۱۳-۰۱-۰۲,۱۲.۹        ,۲.۲             ,-۱۳.۳        ,۰.۰
۲۰۱۳-۰۱-۰۳,۸.۳         ,۳.۳             ,-۱۳.۳        ,۰.۰
۲۰۱۳-۰۱-۰۴,۴.۹         ,۲.۸             ,-۱۰.۶        ,۰.۰
۲۰۱۳-۰۱-۰۵,۱۳.۵        ,-۱.۱            ,-۸.۹         ,۰.۰
۲۰۱۳-۰۱-۰۶,۱۳.۵        ,۶.۱             ,-۱۰.۶        ,۰.۰
۲۰۱۳-۰۱-۰۷,۱۰.۳        ,۱۰.۰            ,-۱۰.۶        ,۰.۰
۲۰۱۳-۰۱-۰۸,۱۳.۱        ,۹.۴             ,-۸.۳         ,۰.۰
۲۰۱۳-۰۱-۰۹,۹.۱         ,۱۲.۸            ,-۳.۹         ,۰.۰
