تاریخ  ,شمسی_تابکاری,درجہ_حرارت_زیادہ,درجہ_حرارت_کم,بارش
۱۹۳۱-۰۱,۲۵.۴۴       ,۳۰.۴۷           ,۱۶.۸۲        ,۴.۱۰
۱۹۳۱-۰۲,۲۳.۴۳       ,۲۹.۵۱           ,۱۵.۹۶        ,۱.۹۲
